user_id,session_start_dttm,desktop_flag,satisfaction_metric,session_duration_min,purchase_flag,purchase_amount_rub
29614,2024-04-01 01:16:58,0,,16,1,223
96030,2024-04-01 01:44:22,1,,7,0,0
5032,2024-04-01 01:48:39,1,,6,0,0
6584,2024-04-01 01:51:06,0,,7,0,0
28199,2024-04-01 02:14:28,0,,6,1,299
95653,2024-04-01 02:26:47,0,,9,0,0
21072,2024-04-01 02:28:50,0,,1,0,0
7079,2024-04-01 02:33:30,0,,5,0,0
79985,2024-04-01 03:32:54,0,,6,1,293
30360,2024-04-01 03:34:20,0,,12,1,294
21131,2024-04-01 03:43:00,1,,7,0,0
5679,2024-04-01 03:47:33,0,,7,1,279
37812,2024-04-01 03:54:59,0,,11,1,372
29384,2024-04-01 03:55:17,0,,0,1,297
66373,2024-04-01 03:58:09,0,,4,1,319
6558,2024-04-01 04:28:03,0,,9,1,457
2819,2024-04-01 04:42:04,1,,4,0,0
71128,2024-04-01 05:02:27,1,,4,0,0
51112,2024-04-01 05:05:06,0,,9,1,238
15053,2024-04-01 05:37:03,0,,3,0,0
3980,2024-04-01 05:49:25,0,,5,0,0
5027,2024-04-01 05:58:36,1,,8,0,0
17120,2024-04-01 06:18:56,1,,5,1,551
83738,2024-04-01 06:22:51,0,,8,0,0
8731,2024-04-01 06:28:15,1,,2,0,0
81155,2024-04-01 07:38:41,0,,3,0,0
6535,2024-04-01 08:02:14,0,,3,1,283
1314,2024-04-01 08:08:13,1,,10,0,0
53151,2024-04-01 08:16:30,0,,4,0,0
4783,2024-04-01 08:21:23,0,,5,1,425
7573,2024-04-01 08:37:18,0,,5,0,0
66675,2024-04-01 08:44:57,0,,3,0,0
10007,2024-04-01 08:51:36,0,,5,0,0
67248,2024-04-01 08:58:44,0,,8,1,148
9540,2024-04-01 09:06:49,0,,8,0,0
83275,2024-04-01 09:13:02,1,,4,1,451
28148,2024-04-01 09:14:48,0,,3,0,0
40212,2024-04-01 09:22:19,0,,7,0,0
76276,2024-04-01 09:40:53,1,,8,0,0
97916,2024-04-01 09:50:33,0,,7,0,0
93303,2024-04-01 10:13:34,0,,8,0,0
79985,2024-04-01 10:29:39,0,,5,0,0
15963,2024-04-01 10:31:31,0,,4,0,0
16778,2024-04-01 10:32:16,1,,5,0,0
5706,2024-04-01 10:33:21,0,,4,0,0
10208,2024-04-01 10:33:27,1,,5,0,0
11096,2024-04-01 10:44:24,0,,7,1,539
46071,2024-04-01 10:51:02,0,,5,1,362
34440,2024-04-01 11:00:23,0,,8,1,432
33807,2024-04-01 11:06:03,0,,8,0,0
45074,2024-04-01 11:13:46,0,,6,1,702
13187,2024-04-01 11:22:44,0,,8,1,336
40350,2024-04-01 11:24:12,0,,8,0,0
69741,2024-04-01 11:26:52,0,,12,0,0
68899,2024-04-01 11:27:11,1,,6,1,320
7981,2024-04-01 11:33:49,0,,10,0,0
50177,2024-04-01 11:33:52,0,,7,0,0
41031,2024-04-01 11:35:02,0,,5,0,0
24164,2024-04-01 11:48:58,0,,6,1,384
1154,2024-04-01 11:54:23,0,,4,0,0
46074,2024-04-01 12:16:27,0,,3,0,0
