user_id,session_start_dttm,registered_dttm,satisfaction_test_bucket,satisfaction_metric,device,purchase_amount_rub
88874,2024-04-01 00:02:52,2023-08-21 02:11:56,,,desktop,536
83319,2024-04-01 00:05:23,2023-10-22 19:20:43,,,desktop,0
86931,2024-04-01 00:28:23,2023-12-01 12:08:14,,,android,364
61856,2024-04-01 00:58:26,2023-11-30 14:09:31,,,desktop,0
51784,2024-04-01 01:29:16,2024-04-01 01:29:16,,,desktop,0
44122,2024-04-01 01:41:35,2023-07-10 18:08:47,,,desktop,401
43650,2024-04-01 01:41:38,2024-04-01 01:41:38,,,desktop,0
57631,2024-04-01 01:53:28,2023-09-07 10:29:57,,,ios,0
02697,2024-04-01 02:08:08,2023-06-13 06:01:11,,,android,556
86935,2024-04-01 02:15:29,2023-11-20 08:01:37,,,desktop,422
24890,2024-04-01 02:31:30,2024-01-14 18:09:07,,,android,0
25687,2024-04-01 02:36:20,2024-03-05 12:21:08,,,desktop,0
25194,2024-04-01 02:36:53,2023-12-30 06:17:10,,,desktop,521
60310,2024-04-01 02:36:58,2023-10-12 19:35:32,,,android,0
76031,2024-04-01 02:44:18,2024-01-18 19:33:44,,,desktop,408
15949,2024-04-01 02:57:30,2024-03-27 16:22:27,,,ios,543
20181,2024-04-01 03:11:14,2023-11-19 07:39:49,,,ios,0
66614,2024-04-01 03:35:47,2023-06-11 03:33:54,,,desktop,657
30472,2024-04-01 03:36:54,2023-09-02 12:26:31,,,android,0
18114,2024-04-01 03:48:12,2024-03-13 21:22:18,,,desktop,944
48264,2024-04-01 03:59:44,2023-09-07 11:45:55,,,android,0
33755,2024-04-01 04:03:14,2023-12-29 21:59:31,,,desktop,351
57889,2024-04-01 04:13:46,2023-11-27 06:36:09,,,ios,0
47217,2024-04-01 04:31:31,2023-09-12 17:14:12,,,desktop,603
47399,2024-04-01 04:31:31,2024-02-27 10:27:22,,,android,0
81371,2024-04-01 05:25:58,2023-09-11 04:53:42,,,ios,0
08705,2024-04-01 05:40:13,2024-01-16 02:56:05,,,ios,0
88478,2024-04-01 05:48:25,2024-03-19 13:16:36,,,desktop,463
17638,2024-04-01 05:53:54,2023-06-26 13:39:25,,,ios,0
15823,2024-04-01 06:19:29,2023-06-29 20:08:56,,,ios,0
41139,2024-04-01 06:35:53,2024-03-28 08:36:50,,,android,0
73570,2024-04-01 06:40:44,2024-02-25 14:39:13,,,android,615
25792,2024-04-01 06:42:22,2023-11-08 20:01:15,,,ios,0
56347,2024-04-01 06:54:53,2023-06-25 09:44:12,,,desktop,0
69591,2024-04-01 07:16:31,2024-02-09 19:23:09,,,desktop,0
79126,2024-04-01 07:23:00,2024-03-01 05:28:08,,,ios,0
28566,2024-04-01 07:24:37,2024-04-01 07:24:37,,,android,0
08462,2024-04-01 07:34:16,2023-10-09 21:57:07,,,desktop,338
57631,2024-04-01 07:41:38,2023-09-07 10:29:57,,,desktop,0
60275,2024-04-01 07:48:23,2023-12-01 21:22:49,,,desktop,0
38747,2024-04-01 07:50:41,2024-03-05 21:43:23,,,android,0
89882,2024-04-01 07:50:46,2023-11-30 12:58:26,,,ios,599
61303,2024-04-01 07:51:12,2024-03-13 21:12:18,,,desktop,0
11798,2024-04-01 08:07:56,2023-08-20 14:11:50,,,desktop,0
33203,2024-04-01 08:10:37,2023-08-13 07:56:08,,,desktop,0
80967,2024-04-01 08:18:23,2024-04-01 08:18:23,,,desktop,0
21981,2024-04-01 08:21:22,2023-10-26 15:05:41,,,android,0
15519,2024-04-01 08:21:24,2024-03-21 05:00:27,,,desktop,0
69757,2024-04-01 08:22:28,2023-09-25 13:05:05,,,android,0
17477,2024-04-01 08:24:18,2024-01-10 15:52:41,,,ios,813
11096,2024-04-01 08:24:53,2023-09-19 21:47:32,,,desktop,0
66160,2024-04-01 08:37:29,2024-03-18 15:39:59,,,android,0
72764,2024-04-01 08:41:56,2024-02-26 15:24:58,,,desktop,0
99274,2024-04-01 08:44:12,2023-07-15 06:55:20,,,desktop,0
18676,2024-04-01 08:50:42,2023-10-22 23:30:36,,,ios,0
18773,2024-04-01 08:57:42,2024-03-18 11:06:33,,,desktop,391
79201,2024-04-01 09:06:40,2023-10-19 12:56:04,,,desktop,516
23077,2024-04-01 09:17:57,2024-01-02 12:25:07,,,desktop,492
22051,2024-04-01 09:18:33,2023-09-26 09:51:49,,,android,0
30264,2024-04-01 09:20:59,2023-08-14 11:06:27,,,ios,0
97033,2024-04-01 09:21:42,2024-03-06 03:16:21,,,ios,0
91837,2024-04-01 09:28:38,2024-02-15 21:55:16,,,ios,0
64324,2024-04-01 09:38:47,2024-03-31 08:16:42,,,android,445
06117,2024-04-01 09:40:23,2023-09-22 23:34:04,,,desktop,506
68763,2024-04-01 09:43:50,2024-01-12 19:14:39,,,desktop,0
36759,2024-04-01 09:46:44,2023-12-17 16:55:47,,,ios,467
01607,2024-04-01 09:49:35,2023-10-28 08:04:57,,,desktop,0
85824,2024-04-01 09:49:41,2023-08-27 09:37:19,,,android,0
44507,2024-04-01 09:56:52,2024-03-11 13:27:54,,,desktop,0
00321,2024-04-01 09:57:13,2024-01-04 18:39:38,,,desktop,333
19603,2024-04-01 09:57:19,2023-06-27 12:43:14,,,ios,664
92628,2024-04-01 09:59:59,2023-06-21 19:13:57,,,desktop,0
84532,2024-04-01 10:00:25,2023-07-20 08:53:02,,,desktop,0
26463,2024-04-01 10:01:51,2024-01-25 03:11:35,,,android,0
11096,2024-04-01 10:07:35,2023-09-19 21:47:32,,,desktop,0
90647,2024-04-01 10:07:43,2023-09-02 14:52:53,,,android,316
05309,2024-04-01 10:35:05,2023-09-10 14:28:21,,,ios,0
30697,2024-04-01 10:43:35,2023-09-03 11:32:29,,,android,0
59704,2024-04-01 10:45:24,2023-07-30 05:06:11,,,desktop,0
81665,2024-04-01 11:06:30,2023-10-30 18:04:05,,,desktop,0
33150,2024-04-01 11:13:40,2024-03-20 22:45:01,,,android,0
43243,2024-04-01 11:21:23,2023-12-23 13:28:49,,,ios,0
24517,2024-04-01 11:26:53,2023-11-13 11:52:01,,,ios,0
79190,2024-04-01 11:27:07,2023-11-30 17:44:27,,,desktop,0
86668,2024-04-01 11:32:12,2024-03-10 18:43:24,,,ios,639
81596,2024-04-01 11:32:24,2023-08-16 22:34:20,,,desktop,534
42605,2024-04-01 11:45:03,2024-03-04 15:01:27,,,desktop,665
37247,2024-04-01 11:49:48,2023-12-01 13:55:58,,,desktop,621
60020,2024-04-01 11:55:13,2024-01-25 23:48:57,,,ios,0
04891,2024-04-01 12:04:33,2024-03-24 00:25:55,,,android,0
32290,2024-04-01 12:10:42,2023-08-01 02:50:05,,,android,0
63893,2024-04-01 12:16:13,2023-10-22 18:06:25,,,desktop,0
80926,2024-04-01 12:17:41,2023-12-05 14:23:37,,,android,0
89956,2024-04-01 12:26:27,2024-04-01 12:26:27,,,android,0
84077,2024-04-01 12:31:12,2023-07-24 08:44:36,,,desktop,0
08913,2024-04-01 12:34:38,2024-03-25 22:02:06,,,ios,779
54299,2024-04-01 12:35:34,2023-12-22 13:55:04,,,android,0
71993,2024-04-01 12:49:36,2023-07-22 19:52:11,,,ios,0
03490,2024-04-01 12:50:20,2023-10-09 15:24:18,,,desktop,570
86804,2024-04-01 12:56:14,2024-03-31 08:25:41,,,desktop,398
95239,2024-04-01 13:00:43,2023-10-04 15:30:13,,,desktop,423
01629,2024-04-01 13:02:09,2023-08-03 23:48:35,,,ios,0
30370,2024-04-01 13:35:34,2023-12-13 22:33:59,,,android,0
95432,2024-04-01 13:45:47,2024-02-21 11:44:51,,,android,0
56520,2024-04-01 13:45:56,2023-12-12 22:36:50,,,ios,0
97127,2024-04-01 13:54:41,2023-07-26 14:08:33,,,ios,0
04217,2024-04-01 14:16:17,2023-06-02 17:38:18,,,ios,0
32706,2024-04-01 14:18:29,2023-10-09 22:08:57,,,ios,551
36856,2024-04-01 14:30:35,2023-06-09 14:04:35,,,ios,0
06626,2024-04-01 14:38:45,2023-09-01 22:22:59,,,android,0
10963,2024-04-01 14:50:59,2023-12-03 09:14:06,,,desktop,0
55751,2024-04-01 14:51:05,2023-10-16 05:02:39,,,ios,555
41530,2024-04-01 14:52:09,2023-12-17 05:31:23,,,desktop,0
10045,2024-04-01 14:55:19,2024-03-17 02:02:27,,,desktop,466
30882,2024-04-01 15:01:11,2023-12-07 01:22:29,,,ios,750
98989,2024-04-01 15:08:59,2024-03-23 01:33:10,,,desktop,500
43604,2024-04-01 15:15:54,2023-09-14 02:45:08,,,ios,0
86725,2024-04-01 15:16:19,2024-03-02 09:22:29,,,android,0
37175,2024-04-01 15:23:43,2023-09-13 14:16:42,,,android,541
06911,2024-04-01 15:24:40,2024-02-10 20:58:59,,,desktop,0
01379,2024-04-01 15:32:49,2023-10-14 13:16:52,,,desktop,0
57651,2024-04-01 15:36:26,2023-12-21 00:05:32,,,desktop,0
15519,2024-04-01 15:39:07,2024-03-21 05:00:27,,,android,0
70570,2024-04-01 15:44:14,2023-10-14 10:16:39,,,desktop,0
80847,2024-04-01 15:47:07,2024-02-17 14:07:46,,,ios,0
93166,2024-04-01 15:47:35,2023-12-10 14:38:58,,,desktop,0
61165,2024-04-01 15:48:00,2024-02-19 12:46:50,,,ios,0
79608,2024-04-01 15:53:41,2024-02-06 20:36:01,,,desktop,0
55751,2024-04-01 15:59:00,2023-10-16 05:02:39,,,desktop,0
15281,2024-04-01 16:05:51,2023-10-27 20:29:21,,,android,492
68599,2024-04-01 16:11:50,2023-10-13 04:57:56,,,android,0
55332,2024-04-01 16:17:28,2024-04-01 16:17:28,,,ios,677
48402,2024-04-01 16:22:44,2023-09-05 07:01:49,,,desktop,0
88994,2024-04-01 16:25:54,2023-08-23 12:34:02,,,ios,0
24656,2024-04-01 16:26:01,2023-12-22 15:28:27,,,ios,759
34626,2024-04-01 16:26:34,2023-09-23 02:57:33,,,ios,493
72764,2024-04-01 16:27:39,2024-02-26 15:24:58,,,ios,0
20388,2024-04-01 16:30:22,2023-06-19 22:44:15,,,android,0
76474,2024-04-01 16:38:11,2023-10-14 09:28:29,,,android,0
83640,2024-04-01 16:41:26,2023-11-27 08:30:17,,,desktop,525
86935,2024-04-01 16:43:21,2023-11-20 08:01:37,,,ios,767
27787,2024-04-01 16:51:03,2023-11-12 03:51:27,,,desktop,0
08485,2024-04-01 17:03:21,2023-11-15 20:29:00,,,android,0
10704,2024-04-01 17:03:41,2024-02-06 09:39:46,,,desktop,0
08785,2024-04-01 17:19:33,2023-08-13 08:28:36,,,ios,0
85417,2024-04-01 17:48:22,2023-09-14 08:05:53,,,desktop,496
10686,2024-04-01 17:58:21,2023-10-24 17:09:12,,,desktop,0
06106,2024-04-01 18:07:42,2023-07-17 17:16:43,,,android,0
63471,2024-04-01 18:16:13,2023-10-17 07:18:15,,,ios,0
33407,2024-04-01 18:19:10,2023-10-08 03:17:54,,,desktop,0
90526,2024-04-01 18:19:59,2023-12-12 23:19:09,,,ios,0
55839,2024-04-01 18:21:41,2024-03-13 09:22:02,,,android,0
33334,2024-04-01 18:38:46,2024-04-01 18:38:46,,,desktop,447
05002,2024-04-01 18:39:58,2024-03-20 03:23:29,,,desktop,370
50727,2024-04-01 18:54:13,2023-08-09 22:46:14,,,ios,0
27670,2024-04-01 19:01:19,2023-12-10 02:20:38,,,desktop,0
45432,2024-04-01 19:06:22,2023-12-02 20:14:03,,,android,0
38820,2024-04-01 19:07:24,2023-07-10 15:36:12,,,android,0
24517,2024-04-01 19:11:58,2023-11-13 11:52:01,,,android,0
91837,2024-04-01 19:19:31,2024-02-15 21:55:16,,,android,0
36004,2024-04-01 19:26:13,2023-09-21 21:17:45,,,desktop,0
