user_id,registered_dttm,male_flag,moscow_flag,age
1186,2023-05-30,0,0,28
37466,2023-05-30,1,1,26
48651,2023-05-30,0,0,33
54337,2023-05-30,1,0,26
57924,2023-05-30,1,0,36
64518,2023-05-30,0,1,34
67751,2023-05-30,0,0,29
69307,2023-05-30,1,1,30
69418,2023-05-30,0,0,32
69949,2023-05-30,0,1,29
76251,2023-05-30,1,1,35
80140,2023-05-30,0,1,18
81366,2023-05-30,1,1,23
88952,2023-05-30,1,0,32
96301,2023-05-30,0,0,23
505,2023-05-31,1,1,32
1923,2023-05-31,1,0,26
3784,2023-05-31,0,0,24
6885,2023-05-31,1,0,33
9415,2023-05-31,0,1,35
19909,2023-05-31,0,1,32
44211,2023-05-31,0,1,30
50296,2023-05-31,0,0,30
53002,2023-05-31,0,0,40
53917,2023-05-31,1,1,34
55079,2023-05-31,1,0,22
56456,2023-05-31,0,1,31
56457,2023-05-31,0,0,30
56469,2023-05-31,0,0,24
65409,2023-05-31,1,1,25
67866,2023-05-31,0,1,37
68248,2023-05-31,1,1,27
74986,2023-05-31,0,1,31
79980,2023-05-31,1,1,24
85415,2023-05-31,0,0,35
97569,2023-05-31,1,0,39
1166,2023-06-01,1,1,30
18911,2023-06-01,1,0,34
23998,2023-06-01,0,0,34
24625,2023-06-01,1,1,31
31987,2023-06-01,0,0,28
37333,2023-06-01,0,1,31
41902,2023-06-01,0,1,35
45248,2023-06-01,1,0,28
53301,2023-06-01,0,1,26
57510,2023-06-01,1,0,37
64463,2023-06-01,1,1,35
64480,2023-06-01,0,1,23
64781,2023-06-01,1,0,33
71558,2023-06-01,1,0,35
73747,2023-06-01,1,1,22
76255,2023-06-01,0,0,18
76671,2023-06-01,1,0,26
86115,2023-06-01,1,0,26
86877,2023-06-01,0,1,28
87434,2023-06-01,1,0,30
94078,2023-06-01,1,0,28
97837,2023-06-01,0,0,35
138,2023-06-02,0,0,38
3092,2023-06-02,1,1,31
3180,2023-06-02,0,1,18
3353,2023-06-02,0,0,30
6183,2023-06-02,1,1,25
11298,2023-06-02,0,0,27
16937,2023-06-02,1,1,43
23207,2023-06-02,1,0,27
24016,2023-06-02,1,0,35
24725,2023-06-02,0,0,31
31063,2023-06-02,1,0,22
34699,2023-06-02,1,0,28
39381,2023-06-02,1,1,28
40827,2023-06-02,1,0,25
59007,2023-06-02,1,1,35
69084,2023-06-02,0,1,18
71631,2023-06-02,1,0,23
76350,2023-06-02,1,1,25
79588,2023-06-02,0,0,33
84693,2023-06-02,1,0,30
86966,2023-06-02,0,0,25
87104,2023-06-02,0,1,36
90231,2023-06-02,0,1,21
90348,2023-06-02,0,0,27
91359,2023-06-02,1,1,34
97348,2023-06-02,1,0,25
97587,2023-06-02,1,1,28
98451,2023-06-02,0,1,42
99047,2023-06-02,1,0,23
10884,2023-06-03,1,0,38
11507,2023-06-03,0,1,25
12975,2023-06-03,0,1,40
13291,2023-06-03,0,1,31
13463,2023-06-03,0,0,36
18641,2023-06-03,1,0,28
19543,2023-06-03,1,1,37
21151,2023-06-03,1,0,35
21724,2023-06-03,0,0,36
24843,2023-06-03,1,0,21
27694,2023-06-03,0,0,30
35078,2023-06-03,1,0,30
42148,2023-06-03,0,1,36
49584,2023-06-03,0,0,27
61001,2023-06-03,1,0,30
65904,2023-06-03,1,1,26
73087,2023-06-03,1,0,22
76071,2023-06-03,1,1,28
78397,2023-06-03,1,0,33
79482,2023-06-03,0,0,29
84261,2023-06-03,1,1,34
86650,2023-06-03,1,0,29
86651,2023-06-03,1,1,24
89431,2023-06-03,1,0,29
90488,2023-06-03,0,0,30
821,2023-06-04,0,1,23
2222,2023-06-04,0,0,20
5433,2023-06-04,1,0,35
5872,2023-06-04,0,0,25
11259,2023-06-04,0,1,43
23343,2023-06-04,1,0,25
28825,2023-06-04,1,0,29
37778,2023-06-04,0,1,27
40996,2023-06-04,1,1,26
47388,2023-06-04,1,0,37
49674,2023-06-04,1,0,29
56628,2023-06-04,1,0,29
59594,2023-06-04,0,0,35
61622,2023-06-04,1,0,30
61849,2023-06-04,0,1,23
76048,2023-06-04,0,0,37
78202,2023-06-04,0,1,36
80495,2023-06-04,0,0,34
86297,2023-06-04,1,0,26
87744,2023-06-04,1,0,38
94731,2023-06-04,1,1,25
95091,2023-06-04,1,0,32
6958,2023-06-05,0,1,28
7443,2023-06-05,1,0,33
10454,2023-06-05,1,1,23
12044,2023-06-05,1,1,36
12140,2023-06-05,0,1,26
13711,2023-06-05,1,1,24
14594,2023-06-05,1,0,34
18626,2023-06-05,1,1,19
29403,2023-06-05,1,1,35
37701,2023-06-05,1,1,25
41495,2023-06-05,1,0,32
42885,2023-06-05,1,1,19
49357,2023-06-05,1,1,24
50251,2023-06-05,1,1,31
50628,2023-06-05,0,0,35
52806,2023-06-05,0,0,28
58625,2023-06-05,1,1,20
59866,2023-06-05,1,0,30
63859,2023-06-05,0,0,48
70463,2023-06-05,1,1,31
71004,2023-06-05,0,0,33
75377,2023-06-05,1,1,45
87857,2023-06-05,0,1,28
88691,2023-06-05,1,1,34
89349,2023-06-05,1,0,30
90334,2023-06-05,1,0,34
90537,2023-06-05,1,1,34
97413,2023-06-05,0,1,31
99487,2023-06-05,0,1,27
6050,2023-06-06,0,0,32
15356,2023-06-06,1,0,21
16217,2023-06-06,1,0,30
21853,2023-06-06,1,1,27
23265,2023-06-06,1,0,25
34381,2023-06-06,1,0,29
37233,2023-06-06,0,0,34
41812,2023-06-06,1,0,34
44291,2023-06-06,1,0,29
49734,2023-06-06,1,1,29
49844,2023-06-06,1,1,28
65082,2023-06-06,1,1,28
79515,2023-06-06,1,1,26
82815,2023-06-06,1,0,29
83115,2023-06-06,1,0,28
86129,2023-06-06,1,0,37
98531,2023-06-06,0,0,33
98943,2023-06-06,0,0,42
3548,2023-06-07,1,0,23
12265,2023-06-07,1,0,30
14435,2023-06-07,1,0,21
14774,2023-06-07,0,1,36
26136,2023-06-07,0,0,29
33289,2023-06-07,1,1,28
33747,2023-06-07,0,0,35
35680,2023-06-07,0,0,40
46672,2023-06-07,1,1,27
54413,2023-06-07,1,1,29
56976,2023-06-07,1,0,28
61710,2023-06-07,1,1,30
63039,2023-06-07,0,0,24
64418,2023-06-07,0,0,24
64437,2023-06-07,1,1,30
82130,2023-06-07,1,0,34
83391,2023-06-07,0,0,24
89829,2023-06-07,0,0,29
96244,2023-06-07,1,1,33
97157,2023-06-07,0,0,30
97808,2023-06-07,0,0,26
98316,2023-06-07,0,0,27
5319,2023-06-08,0,0,38
5436,2023-06-08,0,0,28
9653,2023-06-08,1,0,32
14549,2023-06-08,1,0,31
15061,2023-06-08,1,0,23
16428,2023-06-08,0,1,26
27019,2023-06-08,0,1,22
27876,2023-06-08,0,0,26
33320,2023-06-08,1,0,32
35444,2023-06-08,1,1,29
44213,2023-06-08,0,0,29
46315,2023-06-08,1,1,22
53161,2023-06-08,1,1,23
73039,2023-06-08,1,1,22
86467,2023-06-08,1,0,23
90605,2023-06-08,0,0,29
91205,2023-06-08,1,1,38
10345,2023-06-09,1,0,31
25319,2023-06-09,1,0,30
27857,2023-06-09,1,1,29
37926,2023-06-09,1,0,38
41195,2023-06-09,1,0,26
44210,2023-06-09,0,0,32
45162,2023-06-09,0,0,31
57649,2023-06-09,0,1,27
57725,2023-06-09,1,1,32
59678,2023-06-09,1,1,34
64240,2023-06-09,1,1,36
65865,2023-06-09,0,0,21
73728,2023-06-09,0,0,33
77140,2023-06-09,0,0,24
79151,2023-06-09,0,0,18
97942,2023-06-09,1,0,26
98561,2023-06-09,0,0,28
99440,2023-06-09,1,1,22
1717,2023-06-10,1,0,18
3238,2023-06-10,1,0,35
5677,2023-06-10,1,1,21
9192,2023-06-10,0,0,28
13870,2023-06-10,0,0,25
14100,2023-06-10,0,0,37
16583,2023-06-10,1,1,33
21069,2023-06-10,1,1,47
27835,2023-06-10,0,1,32
30046,2023-06-10,1,1,26
36474,2023-06-10,1,0,35
39258,2023-06-10,1,0,29
40429,2023-06-10,0,0,32
46011,2023-06-10,1,0,39
47169,2023-06-10,0,0,25
47464,2023-06-10,0,0,35
62694,2023-06-10,0,0,32
67044,2023-06-10,1,0,27
71046,2023-06-10,1,1,38
72446,2023-06-10,0,1,34
83030,2023-06-10,1,0,33
83221,2023-06-10,0,0,33
89508,2023-06-10,1,0,24
91216,2023-06-10,1,1,29
93670,2023-06-10,1,0,27
426,2023-06-11,0,0,32
7790,2023-06-11,1,0,22
15359,2023-06-11,0,0,27
19541,2023-06-11,0,1,27
20107,2023-06-11,1,0,29
23351,2023-06-11,1,1,28
24807,2023-06-11,1,1,36
27798,2023-06-11,0,1,29
31475,2023-06-11,0,1,26
34774,2023-06-11,1,0,32
35159,2023-06-11,0,0,24
38480,2023-06-11,1,0,33
39699,2023-06-11,1,1,31
46141,2023-06-11,1,1,22
49700,2023-06-11,1,0,20
57292,2023-06-11,1,0,38
62680,2023-06-11,1,0,35
63893,2023-06-11,0,1,31
66826,2023-06-11,1,0,30
74262,2023-06-11,1,0,27
74325,2023-06-11,1,0,37
76073,2023-06-11,1,1,42
83796,2023-06-11,1,0,40
97253,2023-06-11,0,0,27
333,2023-06-12,1,1,35
4585,2023-06-12,1,0,20
5597,2023-06-12,0,1,42
8135,2023-06-12,1,0,18
11724,2023-06-12,1,1,26
19535,2023-06-12,0,0,29
23495,2023-06-12,1,0,35
30604,2023-06-12,0,1,23
36864,2023-06-12,0,0,39
38405,2023-06-12,0,0,37
39510,2023-06-12,0,1,36
40592,2023-06-12,1,0,27
56248,2023-06-12,1,1,29
58614,2023-06-12,1,0,30
61915,2023-06-12,0,1,36
75036,2023-06-12,1,0,35
76213,2023-06-12,0,1,38
