user_id,registered_dttm,male_flag,moscow_flag,age
75037,2023-05-30 01:48:26,0,0,27
86321,2023-05-30 03:15:26,1,0,30
45165,2023-05-30 03:30:09,1,0,26
73252,2023-05-30 04:58:02,1,1,31
29305,2023-05-30 09:26:57,1,0,31
95904,2023-05-30 09:47:41,1,1,25
77968,2023-05-30 10:02:29,1,0,27
43529,2023-05-30 13:33:59,0,1,29
44210,2023-05-30 15:33:03,0,1,26
26339,2023-05-30 16:07:09,1,0,24
87977,2023-05-30 17:47:43,0,0,18
10910,2023-05-30 17:59:52,1,0,28
50848,2023-05-30 18:25:48,1,1,34
56060,2023-05-30 21:48:29,1,0,22
42447,2023-05-30 23:10:53,1,0,30
42035,2023-05-31 00:18:07,0,1,39
18897,2023-05-31 02:09:10,1,0,27
40669,2023-05-31 02:34:00,1,0,36
66725,2023-05-31 07:14:55,0,0,32
72393,2023-05-31 07:41:03,1,1,30
40567,2023-05-31 11:35:51,1,0,29
98975,2023-05-31 11:51:54,0,0,24
35891,2023-05-31 12:51:04,0,0,29
57398,2023-05-31 15:02:13,1,1,32
90049,2023-05-31 15:11:00,1,0,36
15906,2023-05-31 23:45:38,0,0,28
84389,2023-06-01 00:19:32,0,1,26
62271,2023-06-01 01:11:58,1,1,24
80400,2023-06-01 01:41:45,1,0,34
65463,2023-06-01 04:49:01,1,0,26
36219,2023-06-01 06:27:00,0,0,29
64454,2023-06-01 06:58:36,1,0,23
59790,2023-06-01 08:58:52,1,0,31
42241,2023-06-01 12:00:49,0,0,39
45400,2023-06-01 12:12:47,1,1,39
56999,2023-06-01 12:14:14,1,1,31
99993,2023-06-01 12:53:15,1,1,35
54001,2023-06-01 13:13:49,1,0,19
40484,2023-06-01 13:35:50,1,0,26
78676,2023-06-01 13:50:26,1,1,24
82824,2023-06-01 13:51:55,1,0,21
85653,2023-06-01 14:50:51,1,1,31
61861,2023-06-01 16:20:35,1,1,29
98932,2023-06-01 19:08:22,0,0,42
69911,2023-06-01 20:12:40,1,0,33
65308,2023-06-01 21:14:22,1,0,43
81599,2023-06-02 01:02:05,0,0,44
74070,2023-06-02 01:46:32,0,0,34
28008,2023-06-02 03:36:35,0,0,28
79850,2023-06-02 05:53:26,0,0,30
56111,2023-06-02 06:53:01,1,1,28
18015,2023-06-02 08:27:09,1,1,27
4433,2023-06-02 08:51:53,0,0,26
8135,2023-06-02 09:44:09,1,0,34
24258,2023-06-02 11:55:20,1,1,33
47427,2023-06-02 12:04:35,0,1,28
74077,2023-06-02 12:31:13,1,1,36
39527,2023-06-02 12:36:17,1,1,23
96123,2023-06-02 15:06:22,1,0,25
90381,2023-06-02 15:26:36,0,0,28
43207,2023-06-02 16:20:30,1,0,34
68395,2023-06-02 16:56:19,0,0,31
71900,2023-06-02 17:32:51,0,0,27
36481,2023-06-02 18:47:55,0,0,29
58194,2023-06-02 18:51:58,1,0,30
45831,2023-06-02 19:49:30,1,0,27
46448,2023-06-02 20:02:55,1,0,24
38963,2023-06-02 22:03:23,1,1,30
24654,2023-06-02 22:46:22,1,0,26
32225,2023-06-02 22:51:40,0,1,34
71101,2023-06-02 23:35:10,0,0,24
70622,2023-06-02 23:41:31,0,0,32
94074,2023-06-03 01:04:49,0,0,29
25568,2023-06-03 02:38:00,1,0,27
12529,2023-06-03 03:11:05,0,1,35
11996,2023-06-03 08:22:27,1,0,29
92418,2023-06-03 10:00:29,0,0,25
60071,2023-06-03 10:47:15,1,0,22
95700,2023-06-03 10:51:12,0,0,23
72642,2023-06-03 12:58:46,0,0,32
35569,2023-06-03 13:02:06,0,0,30
32194,2023-06-03 13:05:20,0,0,29
91260,2023-06-03 13:15:47,0,0,27
68886,2023-06-03 13:17:06,1,1,21
67754,2023-06-03 13:42:03,0,0,29
67661,2023-06-03 15:41:23,1,1,36
90965,2023-06-03 15:55:40,1,0,24
5740,2023-06-03 17:01:39,1,0,25
17844,2023-06-03 18:50:49,1,0,28
