user_id,session_start_dttm,desktop_flag,session_duration_min,purchase_flag,purchase_amount_rub,rfm_category,registered_dttm,male_flag,moscow_flag,age
75037,2023-05-30 01:48:26,0,7,0,0,,2023-05-30 01:48:26,0,0,27
86321,2023-05-30 03:15:26,0,4,1,339,,2023-05-30 03:15:26,1,0,30
45165,2023-05-30 03:30:09,1,5,0,0,,2023-05-30 03:30:09,1,0,26
73252,2023-05-30 04:58:02,0,2,1,182,,2023-05-30 04:58:02,1,1,31
29305,2023-05-30 09:26:57,0,8,1,223,,2023-05-30 09:26:57,1,0,31
95904,2023-05-30 09:47:41,1,1,1,411,,2023-05-30 09:47:41,1,1,25
77968,2023-05-30 10:02:29,0,2,0,0,,2023-05-30 10:02:29,1,0,27
43529,2023-05-30 13:33:59,0,9,1,225,,2023-05-30 13:33:59,0,1,29
44210,2023-05-30 15:33:03,1,6,0,0,,2023-05-30 15:33:03,0,1,26
26339,2023-05-30 16:07:09,0,4,1,208,,2023-05-30 16:07:09,1,0,24
87977,2023-05-30 17:47:43,1,7,0,0,,2023-05-30 17:47:43,0,0,18
95904,2023-05-30 17:53:04,0,11,1,471,,2023-05-30 09:47:41,1,1,25
10910,2023-05-30 17:59:52,1,7,1,450,,2023-05-30 17:59:52,1,0,28
50848,2023-05-30 18:25:48,0,6,0,0,,2023-05-30 18:25:48,1,1,34
86321,2023-05-30 20:48:33,0,9,1,200,,2023-05-30 03:15:26,1,0,30
56060,2023-05-30 21:48:29,0,4,0,0,,2023-05-30 21:48:29,1,0,22
43529,2023-05-30 21:49:34,0,3,1,417,,2023-05-30 13:33:59,0,1,29
42447,2023-05-30 23:10:53,1,3,0,0,,2023-05-30 23:10:53,1,0,30
42035,2023-05-31 00:18:07,0,9,0,0,,2023-05-31 00:18:07,0,1,39
18897,2023-05-31 02:09:10,0,5,1,205,,2023-05-31 02:09:10,1,0,27
40669,2023-05-31 02:34:00,0,7,0,0,,2023-05-31 02:34:00,1,0,36
86321,2023-05-31 04:39:16,0,4,0,0,,2023-05-30 03:15:26,1,0,30
40669,2023-05-31 06:23:15,0,4,0,0,,2023-05-31 02:34:00,1,0,36
66725,2023-05-31 07:14:55,1,3,0,0,,2023-05-31 07:14:55,0,0,32
72393,2023-05-31 07:41:03,1,7,1,202,,2023-05-31 07:41:03,1,1,30
40567,2023-05-31 11:35:51,0,6,1,303,,2023-05-31 11:35:51,1,0,29
98975,2023-05-31 11:51:54,0,5,0,0,,2023-05-31 11:51:54,0,0,24
35891,2023-05-31 12:51:04,0,6,0,0,,2023-05-31 12:51:04,0,0,29
57398,2023-05-31 15:02:13,0,4,1,266,,2023-05-31 15:02:13,1,1,32
90049,2023-05-31 15:11:00,0,7,1,298,,2023-05-31 15:11:00,1,0,36
72393,2023-05-31 22:42:32,1,3,0,0,,2023-05-31 07:41:03,1,1,30
56060,2023-05-31 23:01:07,0,6,0,0,,2023-05-30 21:48:29,1,0,22
15906,2023-05-31 23:45:38,0,10,0,0,,2023-05-31 23:45:38,0,0,28
75037,2023-05-31 23:46:11,0,6,0,0,,2023-05-30 01:48:26,0,0,27
